Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_06_2023__14_53_47,6.38243E+13,0,None,0,0,0,0,0,0,0,0,0
07_06_2023__14_53_47,6.38243E+13,0,None,0,0,0,0.6314075,-0.538453,-0.577001,-0.003195891,-0.01491416,0.02716507
07_06_2023__14_53_47,6.38243E+13,0,None,0,0,0,0.6314075,-0.538453,-0.577001,-0.002130594,-0.01491416,0.02663242
07_06_2023__14_53_47,6.38243E+13,0,None,0,0,0,0.6314075,-0.538453,-0.577001,-0.002130594,-0.01491416,0.02663242
07_06_2023__14_53_47,6.38243E+13,0,Saccade,0.033325195,82.17795563,0,0.6296996,-0.5416247,-0.5801727,-0.001065297,-0.01438151,0.02609978
07_06_2023__14_53_47,6.38243E+13,0,Pursuit,0,12.58568478,0,0.6314075,-0.5428445,-0.5806606,0.001597945,-0.01384886,0.02609978
07_06_2023__14_53_47,6.38243E+13,0,Pursuit,0,12.58568478,0,0.6314075,-0.5428445,-0.5806606,0.005326485,-0.01438151,0.02290388
07_06_2023__14_53_47,6.38243E+13,0,Pursuit,0.033325195,14.62481117,0,0.6314075,-0.5428445,-0.5806606,0.005326485,-0.01438151,0.02290388
07_06_2023__14_53_47,6.38243E+13,0,Pursuit,0.033325195,14.62481117,0,0.6294557,-0.5418686,-0.5816366,0.00692443,-0.01331621,0.02343653
07_06_2023__14_53_47,6.38243E+13,0,Pursuit,0.066650391,1.116587281,0,0.6292117,-0.5426006,-0.5787088,0.008522375,-0.01225092,0.02077329
07_06_2023__14_53_47,6.38243E+13,0,Pursuit,0.066650391,1.116587281,0,0.6292117,-0.5426006,-0.5787088,0.008522375,-0.01065297,0.0175774
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6292117,-0.5426006,-0.5787088,0.008522375,-0.01065297,0.0175774
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6321394,-0.5460162,-0.5784649,0.01118562,-0.003195891,0.01597945
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6328713,-0.5457722,-0.5801727,0.0165121,0.000532649,0.01491416
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6328713,-0.5457722,-0.5801727,0.0165121,0.000532649,0.01491416
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6328713,-0.5457722,-0.5801727,0.02077329,0.004261188,0.0175774
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6328713,-0.5457722,-0.5801727,0.02130594,0.003195891,0.0186427
07_06_2023__14_53_48,6.38243E+13,0,Saccade,0.033325195,75.07303619,0,0.6343352,-0.5430885,-0.5750492,0.02077329,0.002663242,0.01544681
07_06_2023__14_53_48,6.38243E+13,0,Saccade,0.033325195,75.07303619,0,0.6343352,-0.5430885,-0.5750492,0.02077329,0.002663242,0.01544681
