Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_07_2023__10_36_37,1688740597264,0,None,0,0,0,0,0,0,0,0,0
07_07_2023__10_36_37,1688740597286,0,None,0,0,0,0.7224102,-0.674835,-0.224945,0.2460836,-0.1645884,-0.09427878
07_07_2023__10_36_37,1688740597348,0,None,0,0,0,0.763154,-0.6228684,-0.1990837,0.01704475,-0.07616874,0.009055025
07_07_2023__10_36_37,1688740597363,0,None,0,0,0,0.7511992,-0.6182328,-0.2010355,0.01704475,-0.07616874,0.009055025
07_07_2023__10_36_37,1688740597380,0,Pursuit,0.5333251953125,6.99176502227783,0,0.7494915,-0.6231123,-0.2044511,-0.02716507,-0.05699339,0.03195891
07_07_2023__10_36_37,1688740597396,0,Pursuit,0.333328247070313,3.92421770095825,0,0.7494915,-0.6231123,-0.2044511,-0.04953631,-0.04793836,0.0516669
07_07_2023__10_36_37,1688740597413,0,Pursuit,0.333328247070313,3.92421770095825,0,0.7494915,-0.6231123,-0.2044511,-0.06604841,-0.04474247,0.06764636
07_07_2023__10_36_37,1688740597430,0,None,0,0,0,0.7253379,-0.6506815,-0.2288486,-0.06604841,-0.04474247,0.06764636
07_07_2023__10_36_37,1688740597447,0,None,0,0,0,0.7185066,-0.6514134,-0.2339721,-0.07510344,-0.0537975,0.06551576
07_07_2023__10_36_37,1688740597463,0,None,0,0,0,0.7185066,-0.6514134,-0.2339721,-0.09055024,-0.07616874,0.05006896
07_07_2023__10_36_37,1688740597480,0,None,0,0,0,0.7185066,-0.6514134,-0.2339721,-0.09055024,-0.07616874,0.05006896
07_07_2023__10_36_37,1688740597497,0,None,0,0,0,0.6909374,-0.6499496,-0.2578817,-0.1054644,-0.09747468,0.0351548
07_07_2023__10_36_37,1688740597513,0,None,0,0,0,0.6919133,-0.6516574,-0.2603214,-0.1134541,-0.1086603,0.02556713
07_07_2023__10_36_37,1688740597530,0,None,0,0,0,0.6919133,-0.6516574,-0.2603214,-0.1214439,-0.1187806,0.02396918
07_07_2023__10_36_37,1688740597546,0,None,0,0,0,0.6919133,-0.6516574,-0.2603214,-0.1214439,-0.1187806,0.02396918
07_07_2023__10_36_37,1688740597564,0,None,0,0,0,0.6965488,-0.6609285,-0.2876466,-0.1209112,-0.1214439,0.02716507
07_07_2023__10_36_37,1688740597581,0,None,0,0,0,0.6985006,-0.6633682,-0.2913062,-0.1118562,-0.1155847,0.02716507
